ax,ay,az
20710,-868,17186
20710,-868,17186
23202,-828,17276
23202,-828,17276
25436,-649,17303
25436,-649,17303
26271,-656,17352
26888,-618,17359
27874,-507,17352
28925,-456,17381
29508,-451,17431
30829,-265,17476
30829,-265,17476
31572,-126,17441
31572,-126,17441
32764,88,17552
32764,88,17552
32764,234,17549
32764,467,17506
32764,763,17504
32764,1090,17520
32764,1432,17501
32764,1799,17485
32764,2171,17504
32764,2528,17498
32764,2853,17445
32764,3098,17400
32764,3286,17380
32019,3438,17348
31195,3493,17303
30414,3419,17271
29451,3295,17230
28621,3189,17197
27797,2985,17196
26500,2650,17144
25210,2332,17078
24264,2068,17103
23086,1760,17136
21579,1400,17090
20232,1090,17030
20232,1090,17030
17600,556,16936
17600,556,16936
14584,265,16884
13094,63,16820
11560,-97,16745
10019,-177,16696
8543,-243,16663
7091,-320,16614
5526,-320,16614
3942,-446,16500
3942,-446,16500
1071,-513,16443
1071,-513,16443
-1964,-628,16347
-1964,-628,16347
-4812,-694,16330
-4812,-694,16330
-7726,-692,16226
-7726,-692,16226
-9207,-677,16187
-10706,-678,16149
-12102,-718,16072
-13359,-750,15977
-14659,-776,15921
-16053,-793,15896
-17318,-765,15867
-18544,-781,15813
-20052,-829,15730
-21441,-807,15672
-22341,-802,15676
-23364,-883,15674
-24753,-1010,15623
-25980,-1102,15574
-26874,-1104,15562
-27813,-1138,15563
-28922,-1208,15523
-29710,-1197,15476
-30161,-1200,15497
-30916,-1262,15522
-31863,-1296,15490
-32369,-1322,15467
-32696,-1355,15482
-32764,-1354,15493
-32764,-1346,15504
-32764,-1351,15520
-32764,-1376,15517
-32764,-1390,15502
-32764,-1350,15504
-32764,-1290,15505
-32764,-1270,15486
-32764,-1296,15518
-32711,-1274,15607
-32421,-1213,15658
-32421,-1213,15658
-31140,-1140,15667
-31140,-1140,15667
-29432,-1013,15816
-29432,-1013,15816
-27995,-900,15824
-27995,-900,15824
-26031,-701,15870
-26031,-701,15870
-23293,-498,16026
-23293,-498,16026
-22488,-382,16040
-21818,-330,15974
-20361,-247,15976
-18262,-99,16086
-16716,-84,16144
-14601,-110,16116
-14601,-110,16116
-10958,-74,16248
-10958,-74,16248
-7658,0,16348
-7658,0,16348
-5990,-139,16491
-4363,-207,16576
-2781,-314,16593
-1347,-400,16600
27,-472,16632
1630,-555,16701
3372,-606,16767
4935,-684,16782
6367,-763,16781
7839,-774,16827
9436,-798,16900
11086,-854,16945
12530,-897,16972
13736,-930,17010
15052,-900,17040
16644,-851,17040
18115,-877,17038
19323,-888,17096
20628,-832,17198
21948,-811,17270
22985,-816,17277
22985,-816,17277
25260,-612,17307
25260,-612,17307
26717,-627,17341
26717,-627,17341
28887,-450,17394
29544,-427,17474
30010,-376,17494
30719,-295,17476
31221,-212,17446
31518,-103,17426
31518,-103,17426
32764,170,17519
32764,170,17519
32764,494,17496
32764,494,17496
32764,1110,17540
32764,1110,17540
32764,1832,17484
32764,1832,17484
32764,2474,17513
32764,2474,17513
32764,2835,17527
32764,3128,17526
32682,3285,17494
32170,3422,17435
31485,3509,17376
30548,3419,17312
29492,3235,17256
28712,3116,17247
27927,2950,17245
26667,2600,17180
25364,2252,17099
24348,2004,17085
23220,1701,17086
21790,1366,17033
20361,1061,16962
19106,761,16926
17800,535,16910
16274,377,16874
14686,242,16808
13222,106,16748
11751,-77,16706
10158,-224,16665
8666,-280,16629
7318,-355,16610
5851,-450,16592
4222,-470,16565
2641,-480,16530
1199,-534,16480
-288,-583,16407
-1851,-618,16344
-3282,-645,16299
-4677,-672,16230
-6148,-699,16172
-7516,-681,16162
-7516,-681,16162
-10381,-650,16056
-10381,-650,16056
-13140,-674,15858
-13140,-674,15858
-15884,-678,15852
-15884,-678,15852
-18405,-748,15794
-18405,-748,15794
-21218,-775,15743
-21218,-820,15727
-22133,-823,15731
-23203,-872,15694
-24617,-1037,15621
-25735,-1116,15593
-26574,-1142,15600
-28882,-1289,15522
